id;comuna;macrozona_3;orientacion_sexual;id_genero;edad;bienestar_subjetivo_3;bienestar_subjetivo;perc_respeto_3;perc_respeto;tipologia_bien_respeto;suma_disc_vida;alguna_disc_vida;suma_disc_ano;alguna_disc_ano;alguna_disc_verbal_vida;alguna_disc_exclusion_vida;alguna_disc_identidad_vida;suma_disc_verb_ano;alguna_disc_verb_ano;suma_disc_exclusion_ano;alguna_disc_exclusion_ano;suma_disc_identidad_ano;alguna_disc_identidad_ano;disc_mi_hogar;disc_familiares;disc_educativo;disc_trabajo;disc_salud_publico;disc_salud_privado;disc_carabineros;disc_pdi;disc_ins_publica;disc_int_financieras;disc_penitenciarias;disc_empresas;disc_publicos;disc_barrio;disc_comercio;disc_club_lgbtiq;disc_club_general;disc_transp_privado;disc_transp_publico;disc_gimnasios;disc_evento_lgbtiq;disc_protesta;disc_redes_sociales;disc_religiosos;disc_arrendar;lug_gritos_intimo;lug_gritos_cercano;lug_gritos_estado;lug_gritos_privado;lug_gritos_publico;lug_insultos_intimo;lug_insultos_cercano;lug_insultos_estado;lug_insultos_privado;lug_insultos_publico;lug_apariencia_intimo;lug_apariencia_cercano;lug_apariencia_estado;lug_apariencia_privado;lug_apariencia_publico;lug_respeto_intimo;lug_respeto_cercano;lug_respeto_estado;lug_respeto_privado;lug_respeto_publico;lug_expulsaron_intimo;lug_expulsaron_cercano;lug_expulsaron_estado;lug_expulsaron_privado;lug_expulsaron_publico;lug_sancion_intimo;lug_sancion_cercano;lug_sancion_estado;lug_sancion_privado;lug_sancion_publico
267;266;2;3;1;2;3;1;1;1;2;3;1;2;1;1;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
290;258;2;1;1;2;2;0;1;1;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;268;2;1;1;3;3;1;1;1;2;3;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;
292;166;3;1;1;2;3;1;1;1;2;2;1;2;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;
293;260;2;3;1;2;2;0;1;1;4;5;1;4;1;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;1;0;1;1;;;;;;;;;;;0;0;0;1;1
294;258;2;2;1;2;3;1;1;1;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;291;2;4;3;2;1;0;1;1;4;4;1;4;1;1;0;1;2;1;0;0;2;1;1;1;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;;;;;;;;;;
297;288;2;1;1;2;2;0;1;1;4;3;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;0;0;1;0;;;;;;;;;;;;;;;
300;263;2;1;1;3;3;1;1;1;2;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;32;1;1;1;4;2;0;1;1;4;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;267;2;3;1;2;3;1;1;1;2;2;1;2;1;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;;;;;;;;;;;;;;;;;;;;
308;262;2;1;1;4;2;0;1;1;4;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;258;2;5;3;2;2;0;1;1;4;6;1;3;1;1;1;1;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;
315;66;1;4;1;2;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;278;2;2;1;2;2;0;1;1;4;2;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
322;270;2;3;1;1;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;271;2;4;1;2;2;0;1;1;4;4;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;255;2;2;1;2;2;0;1;1;4;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;38;1;3;3;2;2;0;1;1;4;3;1;3;1;1;0;1;2;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;1;0;1;1;1;1;0;0;1;;;;;;;;;;;;;;;
368;48;1;2;1;2;3;1;2;0;1;7;1;7;1;1;1;1;2;1;3;1;2;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0
370;249;2;1;1;2;2;0;1;1;4;5;1;3;1;1;1;0;2;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;;;;;;;;;;;;;;;;0;1;1;0;0
375;144;3;3;1;1;3;1;1;1;2;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;
381;84;3;1;1;2;2;0;1;1;4;2;1;1;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;
382;187;3;3;1;2;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;291;2;3;1;1;2;0;1;1;4;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
385;77;3;3;2;1;2;0;2;0;3;6;1;6;1;1;1;1;2;1;1;1;3;1;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;0;;;;;
388;291;2;4;1;2;2;0;1;1;4;4;1;4;1;1;0;1;2;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
389;265;2;1;3;2;2;0;2;0;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;262;2;1;3;1;2;0;1;1;4;3;1;3;1;1;0;1;1;1;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;;;;;;;;;;
392;60;1;3;1;2;3;1;1;1;2;3;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;267;2;1;1;2;3;1;1;1;2;3;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;199;3;1;4;2;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;249;2;4;3;2;2;0;1;1;4;4;1;2;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;0;1;1;1;1;;;;;;1;1;1;1;0;;;;;;;;;;
407;142;3;1;1;2;1;0;1;1;4;4;1;3;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;0;;;;;;1;1;0;1;1;1;1;0;1;1;;;;;;;;;;;0;0;0;1;1
408;251;2;1;1;1;2;0;2;0;3;2;1;2;1;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
411;107;3;2;1;1;1;0;1;1;4;3;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
412;262;2;3;1;2;2;0;1;1;4;4;1;3;1;1;1;1;2;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;
413;32;1;1;1;2;3;1;1;1;2;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;265;2;2;4;2;2;0;2;0;3;6;1;3;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;0;1;0;1;0;0;0;0;1;0;;;;;;0;0;0;1;0;;;;;
417;249;2;5;3;4;2;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;313;1;1;1;2;3;1;2;0;1;3;1;2;1;1;0;1;2;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;
419;249;2;2;1;2;3;1;1;1;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;301;3;1;1;2;2;0;3;0;3;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
421;152;3;2;1;1;2;0;3;0;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;142;3;1;1;2;1;0;1;1;4;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424;249;2;2;1;2;3;1;1;1;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;249;2;3;1;1;3;1;1;1;2;2;1;2;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
426;66;1;5;2;2;2;0;1;1;4;3;1;3;1;1;0;1;2;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;;;;;;0;1;0;0;1;;;;;;;;;;
427;288;2;1;4;1;3;1;2;0;1;2;1;2;1;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
428;257;2;3;1;2;1;0;1;1;4;3;1;3;1;1;0;1;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;
430;300;2;3;1;2;2;0;1;1;4;2;1;2;1;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
431;228;3;1;3;3;2;0;1;1;4;7;1;3;1;1;1;1;2;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;;;;;;;;;;;;;;;
433;270;2;1;1;2;2;0;1;1;4;4;1;4;1;1;1;1;2;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;;;;;;0;1;0;0;0;;;;;
434;217;3;1;1;3;2;0;1;1;4;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436;38;1;1;1;2;3;1;2;0;1;2;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
438;251;2;4;3;2;2;0;1;1;4;5;1;4;1;1;1;1;2;1;0;0;2;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;;;;;;1;1;0;0;1;;;;;;;;;;
439;271;2;2;3;2;2;0;1;1;4;3;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;;;;;;0;1;0;1;1;;;;;;;;;;;;;;;;;;;;
440;263;2;1;1;2;3;1;1;1;2;2;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;
441;267;2;2;4;2;2;0;1;1;4;3;1;2;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;;;;;;0;0;0;1;1;;;;;;1;1;0;1;1;;;;;;;;;;
442;43;1;1;3;1;2;0;1;1;4;6;1;3;1;1;1;1;2;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;1;1;;;;;;;;;;;;;;;
446;262;2;3;1;2;2;0;1;1;4;3;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
448;166;3;5;2;2;2;0;1;1;4;6;1;2;1;1;1;1;0;0;0;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;1;1;0;0;;;;;;;;;;
449;103;3;2;1;2;2;0;2;0;3;5;1;5;1;1;1;1;2;1;2;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;1;0;0;0;0;0;0;1;1;1
454;42;1;2;1;2;2;0;1;1;4;5;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456;262;2;2;1;2;2;0;1;1;4;5;1;5;1;1;1;1;2;1;2;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;;;;;;0;0;0;1;0;;;;;
457;267;2;3;1;2;2;0;2;0;3;4;1;2;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
458;166;3;1;1;3;3;1;2;0;1;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
459;297;2;1;1;2;3;1;1;1;2;4;1;3;1;1;0;1;1;1;0;0;2;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;1;1;0;0;0;0;1;0;1;0;1;1;0;1;0;;;;;;;;;;
461;38;1;2;1;1;2;0;2;0;3;2;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
462;293;2;3;1;1;2;0;2;0;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
464;70;3;1;3;2;1;0;1;1;4;7;1;6;1;1;1;1;2;1;2;1;2;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0
466;290;2;2;4;2;2;0;1;1;4;3;1;2;1;1;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;
467;60;1;5;2;2;2;0;1;1;4;7;1;3;1;1;1;1;1;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;;;;;;0;1;0;1;1;;;;;;0;1;0;0;1;;;;;;;;;;
